word,sentence,label
game,"Despite being game in one leg, the athlete trained tirelessly for the Paralympics.",crippled.s.01
game,"The chess tournament was an intense game, testing the players' strategic skills to the utmost.",game.n.01
game,He decided to game his luck by betting on the underdog in the race.,bet_on.v.01
game,"To play this board game, you need dice, tokens, and a timer.",game.n.09
game,He decided to game his luck by betting on the underdog in the race.,bet_on.v.01
game,Playing video games is my favorite game for unwinding after a long day at work.,game.n.03
game,She won the first game of the set with a powerful serve that left her opponent stunned.,game.n.05
game,He decided to game his luck by betting on the underdog in the race.,bet_on.v.01
game,The detectives uncovered a game of corporate espionage that went deeper than they had imagined.,plot.n.01
game,"In the final game of the basketball match, the scores were neck and neck until the last second.",game.n.02
game,Their game of pranks escalated until it caused a serious misunderstanding.,game.n.11
game,"With the game at 40-30, he only needed one more point to win the match.",game.n.06
game,He decided to game his luck by betting on the underdog in the race.,bet_on.v.01
game,Their game of pranks escalated until it caused a serious misunderstanding.,game.n.11
game,"With the game at 40-30, he only needed one more point to win the match.",game.n.06
game,"In the final game of the basketball match, the scores were neck and neck until the last second.",game.n.02
game,"During their safari, they witnessed a lion hunting its game in the wild.",game.n.04
game,"Despite being game in one leg, the athlete trained tirelessly for the Paralympics.",crippled.s.01
game,"He considered programming not just a job, but a game he played with passion.",game.n.10
game,Playing video games is my favorite game for unwinding after a long day at work.,game.n.03
game,"Despite being game in one leg, the athlete trained tirelessly for the Paralympics.",crippled.s.01
game,She won the first game of the set with a powerful serve that left her opponent stunned.,game.n.05
game,"He considered programming not just a job, but a game he played with passion.",game.n.10
game,"During their safari, they witnessed a lion hunting its game in the wild.",game.n.04
game,"In the final game of the basketball match, the scores were neck and neck until the last second.",game.n.02
game,"During their safari, they witnessed a lion hunting its game in the wild.",game.n.04
game,"He considered programming not just a job, but a game he played with passion.",game.n.10
game,"The chess tournament was an intense game, testing the players' strategic skills to the utmost.",game.n.01
game,Playing video games is my favorite game for unwinding after a long day at work.,game.n.03
game,"Despite being game in one leg, the athlete trained tirelessly for the Paralympics.",crippled.s.01
game,"The restaurant specialized in game, offering dishes like venison and wild boar.",game.n.07
game,"With the game at 40-30, he only needed one more point to win the match.",game.n.06
game,"The chess tournament was an intense game, testing the players' strategic skills to the utmost.",game.n.01
game,The detectives uncovered a game of corporate espionage that went deeper than they had imagined.,plot.n.01
game,She won the first game of the set with a powerful serve that left her opponent stunned.,game.n.05
game,She won the first game of the set with a powerful serve that left her opponent stunned.,game.n.05
game,"With the game at 40-30, he only needed one more point to win the match.",game.n.06
game,"To play this board game, you need dice, tokens, and a timer.",game.n.09
game,Her game attitude during the crisis inspired everyone around her.,game.s.02
game,"The chess tournament was an intense game, testing the players' strategic skills to the utmost.",game.n.01
game,"He considered programming not just a job, but a game he played with passion.",game.n.10
game,"Despite being game in one leg, the athlete trained tirelessly for the Paralympics.",crippled.s.01
game,"To play this board game, you need dice, tokens, and a timer.",game.n.09
game,Their game of pranks escalated until it caused a serious misunderstanding.,game.n.11
game,"With the game at 40-30, he only needed one more point to win the match.",game.n.06
game,The detectives uncovered a game of corporate espionage that went deeper than they had imagined.,plot.n.01
game,"Despite being game in one leg, the athlete trained tirelessly for the Paralympics.",crippled.s.01
game,"The restaurant specialized in game, offering dishes like venison and wild boar.",game.n.07
game,"In the final game of the basketball match, the scores were neck and neck until the last second.",game.n.02
game,He decided to game his luck by betting on the underdog in the race.,bet_on.v.01
game,"During their safari, they witnessed a lion hunting its game in the wild.",game.n.04
game,"In the final game of the basketball match, the scores were neck and neck until the last second.",game.n.02
game,"With the game at 40-30, he only needed one more point to win the match.",game.n.06
game,"He considered programming not just a job, but a game he played with passion.",game.n.10
game,The detectives uncovered a game of corporate espionage that went deeper than they had imagined.,plot.n.01
game,Playing video games is my favorite game for unwinding after a long day at work.,game.n.03
game,"He considered programming not just a job, but a game he played with passion.",game.n.10
game,"He considered programming not just a job, but a game he played with passion.",game.n.10
game,"With the game at 40-30, he only needed one more point to win the match.",game.n.06
game,She won the first game of the set with a powerful serve that left her opponent stunned.,game.n.05
game,"He considered programming not just a job, but a game he played with passion.",game.n.10
game,The detectives uncovered a game of corporate espionage that went deeper than they had imagined.,plot.n.01
game,"He considered programming not just a job, but a game he played with passion.",game.n.10
game,He decided to game his luck by betting on the underdog in the race.,bet_on.v.01
game,"The chess tournament was an intense game, testing the players' strategic skills to the utmost.",game.n.01
game,"In the final game of the basketball match, the scores were neck and neck until the last second.",game.n.02
game,He decided to game his luck by betting on the underdog in the race.,bet_on.v.01
game,"He considered programming not just a job, but a game he played with passion.",game.n.10
